Year,Year_Rank,Song,Artist,Genre,Cover,Points,Peak,Weeks
2005,76,Don't Lie,The Black Eyed Peas,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1189,14,20
2005,77,U Don't Know Me,T.I.,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1180,23,20
2005,78,Inside Your Heaven,Carrie Underwood,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1176,1,19
2005,79,Ordinary People,John Legend,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1168,24,20
2005,80,As Good As I Once Was,Toby Keith,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1144,28,20
2005,81,These Words,Natasha Bedingfield,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1137,17,20
2005,82,Just The Girl,The Click Five,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1126,11,20
2005,83,True,Ryan Cabrera,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1120,18,17
2005,84,Get Back,Ludacris,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1110,13,14
2005,85,Girl Tonite,Twista Featuring Trey Songz,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1104,14,17
2005,86,Daughters,John Mayer,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1100,19,15
2005,87,Over And Over,Nelly Featuring Tim McGraw,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1090,7,13
2005,88,Girlfight,Brooke Valentine Featuring Lil Jon & Big Boi,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1077,23,20
2005,89,Outta Control (Remix),50 Cent Featuring Mobb Deep,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1076,6,19
2005,90,O,Omarion,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1075,27,20
2005,91,Numb/Encore,Jay-Z/Linkin Park,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1060,20,15
2005,92,Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1053,13,15
2005,93,Bless The Broken Road,Rascal Flatts,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1051,29,18
2005,94,Get Right,Jennifer Lopez,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1032,12,17
2005,95,Back Then,Mike Jones,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1011,22,20
2005,96,I Think They Like Me,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,990,15,15
2005,97,Sunday Morning,Maroon 5,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,961,31,20
2005,98,Chariot,Gavin DeGraw,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,961,30,20
2005,99,Mississippi Girl,Faith Hill,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,958,29,20
2005,100,Look What You've Done,Jet,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,951,37,20
2006,1,Unwritten,Natasha Bedingfield,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,3059,5,38
2006,2,Over My Head (Cable Car),The Fray,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,3055,8,42
2006,3,What Hurts The Most,Rascal Flatts,Country,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2737,6,46
2006,4,Bad Day,Daniel Powter,Rock,https://is1-ssl.mzstatic.com/image/thumb/Music/90/db/17/mzi.tiuteyft.jpg/100x100bb.jpg,2653,1,32
2006,5,Temperature,Sean Paul,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2607,1,31
2006,6,Move Along,The All-American Rejects,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2578,15,39
2006,7,You're Beautiful,James Blunt,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2547,1,30
2006,8,I Write Sins Not Tragedies,Panic! At The Disco,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2519,7,37
2006,9,Ridin',Chamillionaire Featuring Krayzie Bone,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2435,1,31
2006,10,Hips Don't Lie,Shakira Featuring Wyclef Jean,Pop,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2417,1,31
2006,11,Buttons,The Pussycat Dolls Featuring Snoop Dogg,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2414,3,30
2006,12,Crazy,Gnarls Barkley,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2374,2,29
2006,13,Be Without You,Mary J. Blige,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2332,3,27
2006,14,Promiscuous,Nelly Furtado Featuring Timbaland,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2272,1,26
2006,15,Dani California,Red Hot Chili Peppers,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2095,6,26
2006,16,Me & U,Cassie,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2088,3,27
2006,17,Chasing Cars,Snow Patrol,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2081,5,31
2006,18,How To Save A Life,The Fray,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2040,3,36
2006,19,Everytime We Touch,Cascada,Electronic/Dance,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2034,10,28
2006,20,It's Goin' Down,Yung Joc,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,2023,3,28
2006,21,SOS,Rihanna,R&B/Soul,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1992,1,28
2006,22,Walk Away,Kelly Clarkson,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1986,12,29
2006,23,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1978,7,28
2006,24,Savin' Me,Nickelback,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1943,19,28
2006,25,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1910,7,25
2006,26,SexyBack,Justin Timberlake,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1897,1,24
2006,27,Check On It,Beyonce Featuring Slim Thug,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1834,1,21
2006,28,Far Away,Nickelback,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1829,8,22
2006,29,So Sick,Ne-Yo,Hip-Hop/Rap,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1807,1,21
2006,30,Lips Of An Angel,Hinder,Rock,https://images.unsplash.com/photo-1511671782779-c97d3d27a1d4?w=120&auto=format&fit=crop&q=60,1806,3,23
